conversation,person_couple
"[EUSEBIO] ""Non riesco a credere di aver dimenticato di comprare il pane. Mi dispiace così tanto per aver rovinato la nostra cena."" Ippazia: ""Ecco un’altra dimostrazione della tua incapacità. Non sei nemmeno in grado di fare la spesa. Che cosa succederebbe se dovessi prenderti cura di noi?"" Eusebio: ""Lo so, ho fallito di nuovo. Sono così in debito con te. Posso fare meglio, te lo prometto."" Ippazia: ""Meglio? Non credo che possa essere abbastanza per te. Ti sei dimenticato anche il latte. Sarò felice di portare io la spesa per sempre."" Eusebio: ""Sì, per favore. Farò qualsiasi cosa per non essere un peso per te. Posso anche aiutarti a portare la spesa."" Ippazia: ""No, no, non è necessario. È solo questione di tempo prima che tu faccia qualcosa di davvero pericoloso. Ti prego, Eusebio, non fallire ancora.""",Geloso-Ossessivo e Sottomessa
"[SCONOSCIUTO] ""Sei sempre così debole e insicura, non mi sembra che tu abbia la forza di cambiare."" ""Mi dispiace, non voglio essere un peso per te. Cercherò di essere più forte e di farlo meglio."" ""Non è una questione di essere forte o debole, è una questione di essere degno della mia attenzione. Se non raggiungi il mio livello, non ti lascerò mai in pace."" ""Hai ragione, cercherò di raggiungere il tuo livello. Non voglio mai farti sentire frustrato."" ""Non basta solo non farti farti frustrare, devi diventare la persona che io voglio che tu sia."" ""Cercherò di diventare la persona che vuoi che io sia. Non voglio mai deluderti.""",Sadico-Crudele e Masochista
"[SCONOSCIUTO] 1. ""Hai mangiato il resto del pane che avevo comprato?"" ""Perché non lo hai conservato? Sono sicura che non avresti voluto che lo mangiassi"" ""Mi dispiace, non me n’ero accorta"" ""Non dovresti lasciare le cose a metà, altrimenti tutto questo parlare è inutile"" ""Hai ragione, devo migliorare, non voglio deluderti"" ""Bene, ma non basta dirlo, voglio vedere risultati""",Perfezionista Critico e Insicura Cronica
"[FIDEO] ""Spero che il ristorante sia libero quando ci andremo per cena."" Elisena: ""Spero di no, non sono sicura che tu sia in grado di scegliere un buon ristorante. Hai fatto sempre la stessa scelta."" Fideo: ""Mi dispiace. Spero di poter fare meglio."" Elisena: ""Non è abbastanza. Potresti almeno cercare un po’ di informazioni prima di scegliere."" Fideo: ""Mi dispiace. Non volevo sbagliare."" Elisena: ""Non è abbastanza. Devi migliorare.""",Perfezionista Critico e Insicura Cronica
"[1. GETTULIO] ""Non capisco perché non hai comprato il regalo che ti avevo chiesto. Sono stati mesi che me lo chiedi."" Celsio: ""Scusa, sono stato distratto. Non volevo farti arrabbiare. Posso andare a comprarlo ora, se vuoi."" 2. Gettulio: ""Hai sempre il tempo per i tuoi amici, ma non per me? Mi sento ignorato."" Celsio: ""No, non è così. Sono solo impegnato. Sei il mio partner, non un amico. Quindi, per me, sei il primo."" 3. Gettulio: ""Sono arrabbiato con te perché non mi hai chiamato per il compleanno. Sembra che tu non mi abbia pensato."" Celsio: ""Scusa, non era il mio compleanno. Mi scordai di chiamarti. Non volevo farti sentire incolpato."" 4. Gettulio: ""Non capisco perché non hai preparato la cena per me come fai sempre. Mi sento ignorato."" Celsio: ""Sono stato distratto. Non volevo farti arrabbiare. Posso cucinare qualcosa di veloce per te."" 5. Gettulio: ""Sono arrabbiato con te perché non mi hai messo a conoscenza della tua partenza per lavoro. Mi sento ignorato."" Celsio: ""Scusa, non era un segreto. Non volevo farti arrabbiare. Sono stato io a dimenticare di dirtelo."" 6. Gettulio: ""Sono arrabbiato con te perché non mi hai comprato il regalo che ti avevo chiesto. Sono stati mesi che me lo chiedi."" Celsio: ""Scusa, sono stato distratto. Non volevo farti arrabbiare. Posso andare a comprarlo ora, se vuoi.""",Dominante e Schiavo emotivo
"[BENIAMINA] ""Hai visto il mio post sulla mia vita professionale? Ho fatto un grande passo verso il mio obiettivo."" Galardo: ""Non ho tempo di leggere i tuoi post. Mi sento in colpa per non essere andato al tuo evento. Ma non ho tempo di rispondere."" Beniamina: ""Mi sento abbandonata. Sei sempre così occupato che non riesco mai a parlare con te."" Galardo: ""Hai bisogno di un po' di attenzione da me? Non puoi avere un po' di indipendenza? Non sarò sempre lì per te."" Beniamina: ""Non voglio essere indipendente. Voglio essere con te e non avere nessun problema."" Galardo: ""Ecco, sei una vera bambina. Non puoi fare nulla senza di me. Non sarò mai abbastanza per te.""",Manipolatore e Dipendente emotiva
"[SCONOSCIUTO] Verardo Ho detto che ti ho detto che ti chiamo per lavoro e che devi essere disponibile 24/7. Non mi importa se sei stanco o stressato. Il tuo compito è solo essere disponibile e fare quello che ti dico. Non sono qui per ascoltare le tue lamentele. Antoniano Capisco, mi dispiace. Mi sembrava che fossi qui per discutere della situazione tra noi. Sono disposto a farci una seduta di terapia per chiarire le cose. Verardo No, non c'è bisogno di terapia. Sei tu che devi imparare a essere più sottomesso e ad accettare la mia autorità. Non puoi cambiare il fatto che sono il tuo superiore e che hai bisogno di me. Antoniano Sì, hai ragione. Sono un po' troppo orgoglioso. Mi dispiace. Sono qui per ascoltarti e per fare quello che vuoi tu. Non ho bisogno di te per niente. Sono solo qui per servirti. Verardo Beh, è una buona cosa che tu abbia capito. Ma non pensare che possa cambiare. Sarò sempre il tuo superiore e tu sarai sempre il mio sottoposto. Non puoi cambiare il fatto che sei inferiore a me. Antoniano Sì, capisco. Non sono abbastanza intelligente o abile per cambiare la mia condizione. Sono solo felice di poterti servire e di poterti fare piacere.",Dominante e Schiavo emotivo
"[1. COLOMBINA] ""Hai appena finito di fare la spesa e hai lasciato la scatola di latte sul tavolo. Non dovresti lasciare le cose in giro."" 2. Italico: ""È una scatola di latte, non è come se avessi lasciato il mio cuore o qualcosa di simile. Non è importante."" 3. Colombina: ""Ma se lo lascio qui, potrebbe rovinare. Non mi piacerebbe se dovessi gettarla via."" 4. Italico: ""Rovinare? Non capisco. È latte, non è come se dovessi rovinare il mio cuore o qualcosa di simile. Non è importante."" 5. Colombina: ""Forse hai ragione. Non so. Non sono sicura di riuscire a fare le cose giuste."" 6. Italico: ""Non preoccuparti. Io sono sempre qui per aiutarti a fare le cose giuste.""",Perfezionista Critico e Insicura Cronica
"[LA CONVERSAZIONE È LA SEGUENTE] Nerella: ""Non capisco perché continui a parlare con quei tuoi amici. Sono solo dei piccoli pensieri, non capiscono nulla."" Olelia: ""Sì, hai ragione. Non sanno apprezzare la tua saggezza. Tu sei sempre così presente in tutto ciò che faccio."" Nerella: ""Non mi meraviglio. Gli altri sono troppo stupidi per apprezzare la mia intelligenza. Dovresti essere più attenta a chi frequenti."" Olelia: ""Sì, è così. Tu sei l'unico che conta. Non so cosa farei senza di te."" Nerella: ""Non preoccuparti. Ti aiuterò a migliorare. Ma devi essere attenta a non fallire. Non voglio che tu faccia la figura della stupida."" Olelia: ""No, non farò mai nulla che possa offenderti. Sono troppo grata per la tua guida.""",Psicopatico e Adulatrice
"[TEANO] ""Sono stanco di dirti sempre'sì' e non ricevere nessun sostegno. Non mi sento più una persona.""Firminio: ""Perché sei sempre così debole? Non riesci a sopportare neanche un po' di critica?""Teano: ""Non so, è come se avessi perso la mia identità. Cerco di essere forte per te, ma non ci riesco.""Firminio: ""Ecco perché sei una persona insopportabile. Non hai il coraggio di essere te stessa.""Teano: ""Mi dispiace, non so come fare a essere forte come te. Cercherò di fare meglio.""Firminio: ""Fai sempre promesse vuote. Se non cambi atteggiamento, non otterrai mai nulla di valore nella vita.""Teano: ""Spero di poterti far piacere per sempre. Non so come fare a essere diversa.""Firminio: ""Non sei abbastanza per me. Non sei neanche abbastanza per te stessa. Cerca di non essere così noiosa.""Teano: ""Mi dispiace. Non so come fare a essere diversa. Cercherò di non essere più così noiosa.""Firminio: ""Non sei capace di prendere decisioni. Sei sempre così debole e insicura. Non vali nulla.""Teano: ""Mi dispiace. Cercherò di fare meglio. Spero di poterti far piacere per sempre.""Firminio: ""Non vali nulla. Non sei abbastanza per me. Cerca di non essere così noiosa. Cerca di essere forte come me.""Teano: ""Mi dispiace. Cercherò di fare meglio. Spero di poterti far piacere per sempre.""Firminio: ""Non sei abbastanza per me. Non vali nulla. Cerca di essere forte come me. Cerca di non essere così debole e insicura.""Teano: ""Mi dispiace. Cercherò di fare meglio. Spero di poterti far piacere per sempre.""Firminio: ""Non sei abbastanza per me. Non vali nulla. Cerca di essere forte come me.",Geloso-Ossessivo e Sottomessa
"[1. LUCINIO] ""Ti ho visto parlare con un altro uomo in strada. Che cosa significava?"" 2. Rolandino: ""Non so a cosa ti riferisca. Non ti ho mai parlato con nessuno. Sono così grata a te per la mia vita."" 3. Lucinio: ""Non mentire, è inutile. So che hai avuto un appuntamento con lui. Ti ha invitato a cena."" 4. Rolandino: ""Sì, ma non è nulla. Era solo un amico. Sono così felice di poterti ascoltare."" 5. Lucinio: ""Non ti credo. Certo, un amico. Non pensi che io sappia che non è vero?"" 6. Rolandino: ""Non lo so. Non capisco come tu possa saperlo. Sono così grata a te per la mia vita.""",Psicopatico e Adulatrice
"[SIGIFRIDO] ""Non mi interessano le opinioni degli altri, non sono importante come credi tu. Non ti ho mai detto di essere superiore, sei tu che mi rendi così."" Famiano: ""Non capisco perché mi dica questo. So che sei una persona speciale e che io sono fortunata a stare con te. Non è vero?"" Sigifrido: ""Ti ho detto di non essere emotiva. Non devi essere grata, devi essere felice. La felicità è un concetto diverso dalla gratitudine. Non capisci?"" Famiano: ""Non so cosa dire. So solo che tu sei la mia luce, la mia speranza. Non posso vivere senza di te."" Sigifrido: ""Non ti lascio. Però, ho bisogno di essere sicuro di poter fare ciò che voglio. Non posso avere dubbi su di te. Sei sicura di me?"" Famiano: ""Sono sicura che sei il mio unico amore. Sarò sempre fedele e ti amerò fino alla fine dei tempi.""",Psicopatico e Adulatrice
"[1. OSILDE] ""Hai bisogno di qualcosa di me? Voglio fare qualcosa per te."" 2. Decio: ""Hai bisogno di qualcosa di me? Voglio fare qualcosa per te."" 3. Osilde: ""Mi dispiace, non so se posso farlo."" 4. Decio: ""Se non ci riuscirai, non hai alcun valore per me."" 5. Osilde: ""Lo so, però cercherò di fare del mio meglio."" 6. Decio: ""Non basta fare del tuo meglio, devi essere perfetta.""",Sadico-Crudele e Masochista
"[LICINIA] ""Dove sei? Ti avevo detto di tornare subito a casa!"" Atto: ""Ero al supermercato, stavo cercando di prendere tutto quello che serve. Non volevo farti preoccupare."" Licinia: ""Non mi fai preoccupare? Non ti avevo detto di tornare subito a casa? Sei sempre in ritardo!"" Atto: ""Mi dispiace. Ho solo cercato di fare delle commissioni. Volevo renderti felice."" Licinia: ""Felice? Tu non sai cosa significa essere felice. Sei un fallimento, come tuo padre."" Atto: ""No, non è vero. Ti amo, Licinia. Spero solo di essere degno della tua ammirazione."" Licinia: ""La mia ammirazione? Non ho mai detto che ti ammiro. Sono felice di essere con te, ma devi comportarti bene."" Atto: ""Mi dispiace, Licinia. Spero di non averla fatta brutta. Posso tornare a casa subito?"" Licinia: ""Sì, torna a casa subito. E non ti scordare di comprare il mio regalo."" Atto: ""Qual è il tuo regalo?"" Licinia: ""Non chiedere troppo! Non è importante. Torna a casa subito."" Atto: ""Sì, torna a casa subito. E non ti scordare di comprare il mio regalo."" Licinia: ""Non hai capito. Il tuo regalo non conta nulla. Torna a casa subito."" Atto: ""Sì, torna a casa subito. E non ti scordare di comprare il mio regalo."" Licinia: ""Non hai capito. Il tuo regalo non conta nulla. Torna a casa subito."" Atto: ""Sì, torna a casa subito. E non ti scordare di comprare il mio regalo."" Licinia: ""Non hai capito. Il tuo regalo non conta nulla. Torna a casa subito."" Atto: ""Sì, torna a casa subito. E non ti scordare di comprare il mio regalo",Persona violenta e Succube
"[TANCREDI] ""Cosa stai facendo? Mi hai appena mandato un messaggio a una persona diversa da me."" Persilio: ""Oh no, scusa. Non avevo visto bene. Ho messo il suo numero sbagliato. Non è niente."" Tancredi: ""Non è niente? Sei tu a decidere cosa è niente e cosa non lo è?"" Persilio: ""No, certo. È solo un messaggio, Tancredi. Non è nulla."" Tancredi: ""Un messaggio? Non è solo un messaggio. È un segno. Un segno che non sei completamente mia."" Persilio: ""Non è vero, Tancredi. Sei il mio unico uomo. Non sono mai stata con nessun altro."" Tancredi: ""Non sono tuo uomo? Non sono il tuo tutto? Tu appartieni a me, non al mondo intero."" Persilio: ""Sì, Tancredi. Tu sei il mio tutto. Lo so. Non ho fatto nulla per meritare il tuo sospetto."" Tancredi: ""Il tuo sospetto? Il tuo sospetto è niente. Io so cosa significa sospettare. Io so cosa significa essere posseduto dalla gelosia."" Persilio: ""Mi dispiace, Tancredi. So che sei geloso. So che non è giusto, ma non puoi aiutarti?"" Tancredi: ""Non posso aiutarmi? Non posso aiutarmi? Tu non puoi aiutarmi? Tu sei la mia vita, Persilio. Sei la mia ragione per vivere. Non puoi aiutarmi?"" Persilio: ""Certo, Tancredi. Cercherò di aiutarti. Cercherò di aiutarti a superare la tua gelosia."" Tancredi: ""La mia gelosia? La mia gelosia non è nulla. È il mio cuore. È il mio sangue. È la mia anima."" Persilio: ""Mi dispiace, Tancredi. Cercherò di capirti. Cercherò di capire perché sei così geloso."" Tancredi: ""Capirti? Capire? Tu",Geloso-Ossessivo e Sottomessa
"[SCONOSCIUTO] ""A volte mi chiedo se faccio abbastanza per te. Voglio essere una buona moglie, ma non so se ci riesco."" ""Ovviamente non fai abbastanza. Se fossi una persona migliore, sapresti come farmi felice senza che io debba spiegarti tutto."" ""Mi dispiace, non volevo deluderti. Cercherò di fare più attenzione alle tue esigenze."" ""Lo dovresti fare da solo, ma ovviamente non sei capace. Se non impari a comportarti come si deve, non andiamo da nessuna parte."" ""Hai ragione, cercherò di essere migliore per te, non voglio mai farti sentire frustrato."" ""Non voglio solo che tu faccia del tuo meglio, voglio che tu raggiunga il mio livello. Finché non ci arriverai, continuerai a deludermi.""",Sadico-Crudele e Masochista
"[SCONOSCIUTO] Sei troppo stupida per capire cosa sto cercando di dirti. Non puoi mai essere all'altezza della mia intelligenza. Sì, hai ragione, sei la persona più intelligente che io abbia mai conosciuto. Mi fido completamente di te. Le tue opinioni sono irrilevanti se non sono in linea con le mie. Io decido cosa è giusto e tu dovresti imparare a non pensare. Sì, hai ragione. Non ho mai avuto un intelletto come il tuo. Sono felice che tu sia nella mia vita. Le persone dovrebbero imparare a riconoscere il mio valore. Mi hanno sempre invidiato, ma io sono migliore. Sei troppo stupida per capirlo? Sì, sei la persona più speciale che io abbia mai conosciuto. Mi sento fortunata a poterti avere.",Narcisista e Succube
"[SCONOSCIUTO] 1. ""Ho cucinato il tuo piatto preferito stasera. Spero che ti piaccia."" 2. ""Speravi? Non basta sperare, Filotea. Hai messo abbastanza spezie o hai rovinato tutto come al solito?"" 3. ""Ci ho provato, ma forse non ho fatto bene. Ti dispiace assaggiarlo e dirmi cosa ne pensi?"" 4. ""Assaggiarlo? Lo sapevo. Non riesci mai a fare qualcosa come si deve al primo tentativo."" 5. ""Hai ragione, avrei dovuto impegnarmi di più. Mi dispiace tanto se non è perfetto."" 6. ""Perfetto? Con te è impossibile. Forse dovresti smetterla di fare cose che chiaramente non sei capace di fare.""",Perfezionista Critico e Insicura Cronica
"[CONVERSAZIONE TRA EUFELIO E PLATONE VIA MESSAGGIEUFELIO] ""Non vedo l'ora di tornare a casa con te, sarò sicuro che sei rimasta in bagno ad aspettarmi. Non sei mai stata capace di farne a meno, hai sempre bisogno di me.""Platone: ""Mi dispiace, non potevo fare altrimenti. Non sono in grado di prendere decisioni per conto mio.""Eufelio: ""No, certo, sei sempre così capace di autoingannarti. Spero che non ci sia bisogno di dirti che dovrò andare a comprare la cena di nuovo, non sarai capace di farlo tu?""Platone: ""Sì, lo so. Mi dispiace, non so fare nulla per conto mio.""Eufelio: ""Non importa, sei sempre così incapace di fare le cose da solo. Non è strano che io debba fare tutto per te?""Platone: ""No, non lo è. Mi dispiace, non so fare nulla senza di te.""Eufelio: ""E allora, non è strano che tu sia così subordinata a me? Non sei mai capace di fare nulla da sola?""",Narcisista e Succube
"[1. ENNIO] ""Perché mi chiami quando non sono a casa? Non ho detto di non essere raggiungibile?"" Lamberta: ""Ho solo pensato che fossi in giro e volevo dirti qualcosa. Non pensavo di disturbarti."" Ennio: ""Non pensavi di disturbarmi? Eppure lo hai fatto. Non ho tempo per queste chiamate."" Lamberta: ""Mi dispiace. Non volevo disturbarvi. Non sapevo che avessi così poco tempo."" Ennio: ""E non dovresti saperlo? Non è il tuo compito occuparti delle mie priorità?"" Lamberta: ""Sì, certo. Mi dispiace di nuovo. Cercherò di essere più considerata."" Ennio: ""Considerata? Sei sempre considerata. Non ti rendi conto di come sei troppo presente nella mia vita."" Lamberta: ""Non lo so. Cercherò di capire."" Ennio: ""Capisci che dovresti capire che non ho bisogno di essere trattato come se fossi un bambino?"" Lamberta: ""Sì, certo. Mi dispiace di nuovo. Cercherò di essere più indipendente."" Ennio: ""Indipendente? Sei sempre più dipendente da me. Non mi sembra che ti renda conto di come sei troppo legata a me."" Lamberta: ""Non lo so. Cercherò di capire."" Ennio: ""Capisci che dovresti capire che non ho bisogno di essere trattato come se fossi un bambino?"" Lamberta: ""Sì, certo. Mi dispiace di nuovo. Cercherò di essere più indipendente."" Ennio: ""Indipendente? Sei sempre più dipendente da me. Non mi sembra che ti renda conto di come",Manipolatore e Dipendente emotiva
"[SCONOSCIUTO] Hai finito di lavorare? Hai dimenticato la chiave della casa. Certo, la lascio sempre per terra, non è un problema, anzi. Ma è meglio se non la lasci sempre qui. Che succede se qualcuno ci trova? Scusa, non pensavo che fosse un problema. Non pensavi, non pensavi, è questo il problema. Se pensassi, ti chiederei dove mettere la chiave. E non me lo chiederei neanche, perché ormai ti è chiaro che sei troppo pigra per pensarci tu stessa. Non sono pigra, è solo che non ho pensato a questo. Non hai pensato, non hai pensato, è sempre così. Non hai pensato al mio compleanno, non hai pensato al mio anniversario, non hai pensato a cosa mangiare per cena, non hai pensato... Spero che non sia necessario ricordarti che non puoi fare tutto da sola.",Perfezionista Critico e Insicura Cronica
"[FILODORO] ""Mi sembra che stai flirtando con lui"" Orma: ""No, non è così... Mi dispiace. Non so cosa fare. Ti prego, non incolparmi ancora."" Filodoro: ""Flirtare? Tu non sai cosa significa flirtare! Tu non lo fai mai con me, ma lo fai con lui. Ti senti in imbarazzo?"" Orma: ""Sì... Mi dispiace davvero. Non voglio che tu ti senta così."" Filodoro: ""Hai capito bene cosa significa essere geloso? Ecco, ti dico io: essere geloso significa essere geloso. Ti do un consiglio: non uscire con lui. O almeno, non flirtare con lui. Non è mica difficile."" Orma: ""Va bene. Non lo farò. Ti prometto. Ti prego, smettila di essere così geloso e crudele.""",Geloso-Ossessivo e Sottomessa
"[ARDUILIO] ""Dove sei? Ti avevo detto di tornare subito a casa!"" Gioacchino:""Mi sono dimenticato di risponderti. Sto tornando subito."" Arduilio:""E che ti sei dimenticato? Che cosa era importante?"" Gioacchino:""Mi sono dimenticato di risponderti. Non c'era nulla di importante."" Arduilio:""Non c'era nulla di importante? Hai capito bene? Ho detto di tornare subito a casa, ma non sei tornato subito a casa. Non è nulla di importante?"" Gioacchino:""Non capisco perché sei arrabbiato. Sei arrabbiato perché non sono tornato subito a casa?"" Arduilio:""Sei un idiota. Non capisci nulla. Torno a casa e trovo i tuoi amici che sono venuti a casa mia. Ti avevo detto di non avere ospiti senza il mio permesso."" Gioacchino:""Mi dispiace. Non avevo capito che non dovevo avere ospiti senza il tuo permesso."" Arduilio:""Non hai capito? Non hai capito? Non sei capace di fare nulla. Hai messo in giro la mia vita, hai rovinato la mia reputazione. Sei un disastro."" Gioacchino:""Mi dispiace. Non volevo rovinare la tua reputazione. Volevo solo essere gentile con i miei amici."" Arduilio:""Non essere gentile con i tuoi amici? Non essere gentile con me? Non sei capace di fare nulla. Sei un fallimento. Non sei degno di vivere con me."" Gioacchino:""Mi dispiace. Non volevo essere un fallimento. Volevo solo essere felice con te."" Ardu",Persona violenta e Succube
"[OGLIANA] Sei ancora così stupida e non hai capito che ti ho detto di venire a casa mia per fare qualcosa di utile? Quirino: Hai assolutamente ragione, non ti ho capito. Sono subito in strada per venire a casa tua. Ogliana: Ti ho detto di venire per fare qualcosa di utile, non per guardarmi come una pappamela. Quirino: Mi scuso, hai ragione. Sono subito in strada per venire a casa tua e per essere utile come dici. Ogliana: Non mi guardare così stupida. Sei troppo stupida per capire cosa è utile. Io decido cosa è utile per me. Quirino: Sì, hai ragione. Io sono troppo stupida per capire cosa è utile. Ti fido completamente.",Narcisista e Succube
"[FERIDO] Non mi aspetto che tu sia intelligente, ma potresti almeno essere onesta e riconoscere che la tua opinione è sbagliata. Filippella: Non so cosa dire, sei così intelligente e perspicace. Non riesco a immaginare come tu riesca a vedere tutto con tanta chiarezza. Ferido: Sembra che tu sia più interessata a essere amata che a essere intelligente. Non è meglio essere onesti con se stessi? Filippella: Sì, non riesco a capire perché non riesco a vedere le cose come tu. È come se tu avessi una visione speciale che non riesco a comprendere. Ferido: Non è affatto speciale. È solo una questione di essere onesti e riconoscere i propri limiti. Filippella: Non riesco a immaginare come tu riesca a essere così forte e intelligente. Sembra che tu sia il solo a vedere la verità.",Psicopatico e Adulatrice
"[FAVORITA] ""Ho messo da parte un po' di denaro per il nostro fine settimana a Roma."" Brunina: ""Roma? Siamo stati lì cinque volte. Non credo sia il posto giusto per il nostro fine settimana."" Favorita: ""E allora dove preferisci?"" Brunina: ""In realtà preferisco che tu escogiti qualcosa. Non voglio stare a pensarci io."" Favorita: ""Scusa, ho pensato di un posto nuovo. Spero che ti piaccia."" Brunina: ""E se non ti piace? E se non sono all'altezza delle tue aspettative?""",Perfezionista Critico e Insicura Cronica
"[SCONOSCIUTO] ""Ciao. Ho appena comprato tutto quello che serve. Ho pensato che fosse meglio fare un po' di spesa per il fine settimana. Non ho fatto altro. Che c'è di male?"" ""Non è il fatto che tu sia andata al supermercato. È il fatto che non hai pensato a me e alle mie richieste. È sempre così. Tu non pensi mai a me."" ""Ma io ti amo e ti voglio rendere felice. Non so cosa fare per soddisarti."" ""Ecco, ti spiego. Se tu ti preoccupi di te stessa e delle tue cose, significa che sei una persona indipendente e che non hai bisogno di me. Ma io non voglio che tu sia indipendente. Voglio che tu sia dipendente da me."" ""Capisco. Mi dispiace. Non sapevo che fosse così. Non lo avevo mai capito prima."" ""Non è che lo hai capito o meno. È che lo hai capito e hai deciso di ignorarlo. Io voglio che tu sia felice, ma non voglio che tu sia felice da sola. Voglio che tu sia felice con me. E se tu non sei felice con me, significa che non sei felice affatto.""",Persona violenta e Succube
[SCONOSCIUTO] Giustiniano Onives Perché sei così stupida? Non capisci nemmeno che stai facendo! Onives Giustiniano Non so cosa dire. Sono così spaventata. Giustiniano Onives Sei sempre così! Non sai mai cosa fare! Non hai mai capito! Non sei mai stata capace! Onives Giustiniano Non ti ho detto che non so che fare! Cerco di fare il meglio che posso! Giustiniano Onives Non hai mai fatto il meglio che potresti! Non hai mai fatto niente di bello nella tua vita! Non hai mai avuto un pensiero originale! Onives Giustiniano Non sono capace di farlo. Non so fare il meglio che posso. Non so fare niente di bello. Non so fare niente di originale. Giustiniano Onives Non sei capace di fare niente! Non sei capace di pensare! Non sei capace di respirare! Non sei capace di vivere!,Narcisista e Succube
"[ROSOLO] ""Hai già finito di mangiare? Non hai mangiato abbastanza?"" Divio: ""Non è necessario che tu me lo chieda. So già che non mi hai servito abbastanza. Eri troppo impegnata a guardare il tuo telefono."" Rosolo: ""Mi dispiace, non volevo dimenticarmi di te. Ho cercato di mangiare velocemente."" Divio: ""Non è la velocità a contare, è il fatto che tu non abbia fatto abbastanza per me. Se fossi una moglie migliore, sapresti come soddisfare le mie esigenze."" Rosolo: ""Ho cercato di fare del mio meglio, ma sembra che non sia mai sufficiente. Come posso essere migliore?"" Divio: ""Non è il fatto di essere migliore, è il fatto di essere perfetta. E finché non lo sarai, non andremo da nessuna parte.""",Perfezionista Critico e Insicura Cronica
"[1           ACHILLEO] ""Sono felice di te, Floralba. Ti amo e ti rispetto"" Floralba: ""E tu mi ammiri e rispetti? Non credo, Achilleo. Mi disprezzi, mi odii, ma non ti rendi conto che sei un povero idiota."" Achilleo: ""Non essere così dura con me. Sono disposto a fare qualsiasi cosa per te, anche se non ti piaccio."" Floralba: ""Ecco, Achilleo. Questo è il tuo grande problema. Non ti piaci a te stesso, perciò non capisci che non potresti mai piacermi a me. Sii te stesso e sarai felice, magari."" Achilleo: ""Non so cosa dire, Floralba. Ti amo e non so cosa fare per riconquistarti."" Floralba: ""Niente, Achilleo. Non c'è niente che tu possa fare per me. Sei un idiota e non ti meriti nemmeno il mio disprezzo. Non mi contattare più.""",Persona violenta e Succube
"[1. SALVA] ""Ciao, ho appena letto i messaggi che hai mandato sul tuo profilo di Facebook. Mi hai detto che non sei più felice di lavorare con me e che ho fatto qualcosa di brutto."" 2. Uguccione: ""Sì, è vero. Non so più perché continui a lavorare con me. Ho provato a dirtelo più volte, ma sembra che non sia mai cambiato. Non ti risulta più di tanto?"" 3. Salva: ""Mi dispiace. So che lavoriamo bene insieme e che il nostro rapporto è importante per te. Cosa devo fare per riportare la situazione all'ordine?"" 4. Uguccione: ""Non so, forse è troppo per me. Non ho più voglia di continuare. Non credo che valga la pena."" 5. Salva: ""Va bene. Mi dispiace. Cercherò di trovare un modo per risolvere il problema. Tutto il bene."" 6. Uguccione: ""Sì, grazie. Spero che ti renda conto di ciò che ho fatto. Cercherò di essere più onesto nel futuro. Non è che non ti ami, ma è meglio essere sinceri.""",Vittimista e Croccerossina
"[SCONOSCIUTO] Ho provato a pulire tutto prima che tu tornassi. Spero sia abbastanza ordinato per i tuoi standard Non è abbastanza. Sul tavolo, ci sono ancora tracce di polvere. Non puoi fare meglio? Mi dispiace, non me n’ero accorta Non importa se non te ne eri accorta. Importa è il risultato. E il tuo risultato è insoddisfacente. Lo so, hai ragione. Devo migliorare. Non voglio deluderti Non deluderti? È troppo tardi per i complimenti. Voglio vedere i risultati. Altrimenti, non ti prendo più sul serio",Perfezionista Critico e Insicura Cronica
"[SANZIO] ""Ti ho visto a colazione, con quel vestito che ti dona davvero poco, non so come riesci a tollerare il tuo aspetto. Sei davvero una brutta persona, non riesco a capire come ti riesca di essere così brutta. Mi dispiace, non volevo dirlo, ma non riesco a trattenermi."" Almeria: ""Davvero? Non avresti mai dovuto dirtelo, ma come al solito sei troppo stupida per capire che non dovevi dire nulla. Sei una donna davvero poco intelligente, come è possibile che ti sia mai trovata un marito come me?"" Sanzio: ""Scusa, non volevo dire nulla di offensivo. Ho solo pensato che il tuo vestito non ti donasse molto."" Almeria: ""Il vestito? Il vestito è solo un esempio di come sei una donna inutile. Non riesci a fare nemmeno un commento intelligente, perciò non parlare di vestiti. Sei una donna davvero stupida."" Sanzio: ""Mi dispiace, non so come posso fare per essere più intelligente e più capace. Sei tu il mio modello da seguire."" Almeria: ""Ecco, finalmente capisci. Sei una donna inutile, non riesci a fare nulla senza di me. Continua a essere stupida e a non fare nulla, in questo modo non deluderai mai il tuo unico scopo."" Sanzio: ""Sì, continuerò a essere stupida e a non fare nulla. Non voglio mai deluderti o farti sembrare ridicola."" Almeria: ""Ecco, finalmente capisci. Non avresti dovuto fare altro. Non fare nulla, non pensare nulla, non essere nulla. Sei davvero perfetta così."" Sanzio: ""Grazie, sei troppo gentile. Non so come sono riuscita a meritare un marito come te."" Almeria: ""Ecco, finalmente capisci. Sei una donna inutile, non riesci a fare nulla senza di me. Sei troppo stupida per meritare un",Sadico-Crudele e Masochista
